content,publishtime,area,majorpollutant,forecastdate,aqi,minorpollutant,minorpollutantaqi
"今（27）日環境風場為東南風，垂直擴散條件佳，午後受光化作用影響，臭氧濃度稍易上升，入夜後已趨緩。依18時監測結果，北部、竹苗、宜蘭、花東空品區及金門、澎湖為「良好」等級；中部、雲嘉南、高屏空品區及馬祖為「普通」等級。
依監測資料及氣象署27日18時氣象資料顯示：28日環境風場為偏南風，迎風面擴散條件轉佳，北部位於下風處，污染物稍易累積，午後受光化作用影響，臭氧濃度稍易上升。竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區及馬祖、金門、澎湖為「良好」等級；北部空品區為「普通」等級。
29日環境風場為偏南風至西南風，迎風面擴散條件佳，北部位於下風處，污染物稍易累積，午後受光化作用影響，臭氧濃度稍易上升。竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區為「良好」等級；北部空品區為「普通」等級。
30日環境風場為西南風，全臺擴散條件佳，空氣品質良好。北部、竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區為「良好」等級。
未來一週，28日至7月2日環境風場為偏南風至西南風，迎風面擴散條件較好，北部污染物稍易累積；7月3日環境風場為東南風，西半部擴散條件稍差，污染物稍易累積。空氣品質受氣象條件影響大，有其不確定性，請隨時留意最新空氣品質資訊。","2024-06-27 22:00",宜蘭,,2024-06-28,35,,
"今（27）日環境風場為東南風，垂直擴散條件佳，午後受光化作用影響，臭氧濃度稍易上升，入夜後已趨緩。依18時監測結果，北部、竹苗、宜蘭、花東空品區及金門、澎湖為「良好」等級；中部、雲嘉南、高屏空品區及馬祖為「普通」等級。
依監測資料及氣象署27日18時氣象資料顯示：28日環境風場為偏南風，迎風面擴散條件轉佳，北部位於下風處，污染物稍易累積，午後受光化作用影響，臭氧濃度稍易上升。竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區及馬祖、金門、澎湖為「良好」等級；北部空品區為「普通」等級。
29日環境風場為偏南風至西南風，迎風面擴散條件佳，北部位於下風處，污染物稍易累積，午後受光化作用影響，臭氧濃度稍易上升。竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區為「良好」等級；北部空品區為「普通」等級。
30日環境風場為西南風，全臺擴散條件佳，空氣品質良好。北部、竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區為「良好」等級。
未來一週，28日至7月2日環境風場為偏南風至西南風，迎風面擴散條件較好，北部污染物稍易累積；7月3日環境風場為東南風，西半部擴散條件稍差，污染物稍易累積。空氣品質受氣象條件影響大，有其不確定性，請隨時留意最新空氣品質資訊。","2024-06-27 22:00",高屏,,2024-07-01,25,,
"今（27）日環境風場為東南風，垂直擴散條件佳，午後受光化作用影響，臭氧濃度稍易上升，入夜後已趨緩。依18時監測結果，北部、竹苗、宜蘭、花東空品區及金門、澎湖為「良好」等級；中部、雲嘉南、高屏空品區及馬祖為「普通」等級。
依監測資料及氣象署27日18時氣象資料顯示：28日環境風場為偏南風，迎風面擴散條件轉佳，北部位於下風處，污染物稍易累積，午後受光化作用影響，臭氧濃度稍易上升。竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區及馬祖、金門、澎湖為「良好」等級；北部空品區為「普通」等級。
29日環境風場為偏南風至西南風，迎風面擴散條件佳，北部位於下風處，污染物稍易累積，午後受光化作用影響，臭氧濃度稍易上升。竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區為「良好」等級；北部空品區為「普通」等級。
30日環境風場為西南風，全臺擴散條件佳，空氣品質良好。北部、竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區為「良好」等級。
未來一週，28日至7月2日環境風場為偏南風至西南風，迎風面擴散條件較好，北部污染物稍易累積；7月3日環境風場為東南風，西半部擴散條件稍差，污染物稍易累積。空氣品質受氣象條件影響大，有其不確定性，請隨時留意最新空氣品質資訊。","2024-06-27 22:00",高屏,,2024-06-30,25,,
"今（27）日環境風場為東南風，垂直擴散條件佳，午後受光化作用影響，臭氧濃度稍易上升，入夜後已趨緩。依18時監測結果，北部、竹苗、宜蘭、花東空品區及金門、澎湖為「良好」等級；中部、雲嘉南、高屏空品區及馬祖為「普通」等級。
依監測資料及氣象署27日18時氣象資料顯示：28日環境風場為偏南風，迎風面擴散條件轉佳，北部位於下風處，污染物稍易累積，午後受光化作用影響，臭氧濃度稍易上升。竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區及馬祖、金門、澎湖為「良好」等級；北部空品區為「普通」等級。
29日環境風場為偏南風至西南風，迎風面擴散條件佳，北部位於下風處，污染物稍易累積，午後受光化作用影響，臭氧濃度稍易上升。竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區為「良好」等級；北部空品區為「普通」等級。
30日環境風場為西南風，全臺擴散條件佳，空氣品質良好。北部、竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區為「良好」等級。
未來一週，28日至7月2日環境風場為偏南風至西南風，迎風面擴散條件較好，北部污染物稍易累積；7月3日環境風場為東南風，西半部擴散條件稍差，污染物稍易累積。空氣品質受氣象條件影響大，有其不確定性，請隨時留意最新空氣品質資訊。","2024-06-27 22:00",高屏,,2024-06-29,25,,
"今（27）日環境風場為東南風，垂直擴散條件佳，午後受光化作用影響，臭氧濃度稍易上升，入夜後已趨緩。依18時監測結果，北部、竹苗、宜蘭、花東空品區及金門、澎湖為「良好」等級；中部、雲嘉南、高屏空品區及馬祖為「普通」等級。
依監測資料及氣象署27日18時氣象資料顯示：28日環境風場為偏南風，迎風面擴散條件轉佳，北部位於下風處，污染物稍易累積，午後受光化作用影響，臭氧濃度稍易上升。竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區及馬祖、金門、澎湖為「良好」等級；北部空品區為「普通」等級。
29日環境風場為偏南風至西南風，迎風面擴散條件佳，北部位於下風處，污染物稍易累積，午後受光化作用影響，臭氧濃度稍易上升。竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區為「良好」等級；北部空品區為「普通」等級。
30日環境風場為西南風，全臺擴散條件佳，空氣品質良好。北部、竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區為「良好」等級。
未來一週，28日至7月2日環境風場為偏南風至西南風，迎風面擴散條件較好，北部污染物稍易累積；7月3日環境風場為東南風，西半部擴散條件稍差，污染物稍易累積。空氣品質受氣象條件影響大，有其不確定性，請隨時留意最新空氣品質資訊。","2024-06-27 22:00",高屏,,2024-06-28,45,,
"今（27）日環境風場為東南風，垂直擴散條件佳，午後受光化作用影響，臭氧濃度稍易上升，入夜後已趨緩。依18時監測結果，北部、竹苗、宜蘭、花東空品區及金門、澎湖為「良好」等級；中部、雲嘉南、高屏空品區及馬祖為「普通」等級。
依監測資料及氣象署27日18時氣象資料顯示：28日環境風場為偏南風，迎風面擴散條件轉佳，北部位於下風處，污染物稍易累積，午後受光化作用影響，臭氧濃度稍易上升。竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區及馬祖、金門、澎湖為「良好」等級；北部空品區為「普通」等級。
29日環境風場為偏南風至西南風，迎風面擴散條件佳，北部位於下風處，污染物稍易累積，午後受光化作用影響，臭氧濃度稍易上升。竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區為「良好」等級；北部空品區為「普通」等級。
30日環境風場為西南風，全臺擴散條件佳，空氣品質良好。北部、竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區為「良好」等級。
未來一週，28日至7月2日環境風場為偏南風至西南風，迎風面擴散條件較好，北部污染物稍易累積；7月3日環境風場為東南風，西半部擴散條件稍差，污染物稍易累積。空氣品質受氣象條件影響大，有其不確定性，請隨時留意最新空氣品質資訊。","2024-06-27 22:00",雲嘉南,,2024-07-01,25,,
"今（27）日環境風場為東南風，垂直擴散條件佳，午後受光化作用影響，臭氧濃度稍易上升，入夜後已趨緩。依18時監測結果，北部、竹苗、宜蘭、花東空品區及金門、澎湖為「良好」等級；中部、雲嘉南、高屏空品區及馬祖為「普通」等級。
依監測資料及氣象署27日18時氣象資料顯示：28日環境風場為偏南風，迎風面擴散條件轉佳，北部位於下風處，污染物稍易累積，午後受光化作用影響，臭氧濃度稍易上升。竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區及馬祖、金門、澎湖為「良好」等級；北部空品區為「普通」等級。
29日環境風場為偏南風至西南風，迎風面擴散條件佳，北部位於下風處，污染物稍易累積，午後受光化作用影響，臭氧濃度稍易上升。竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區為「良好」等級；北部空品區為「普通」等級。
30日環境風場為西南風，全臺擴散條件佳，空氣品質良好。北部、竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區為「良好」等級。
未來一週，28日至7月2日環境風場為偏南風至西南風，迎風面擴散條件較好，北部污染物稍易累積；7月3日環境風場為東南風，西半部擴散條件稍差，污染物稍易累積。空氣品質受氣象條件影響大，有其不確定性，請隨時留意最新空氣品質資訊。","2024-06-27 22:00",雲嘉南,,2024-06-30,25,,
"今（27）日環境風場為東南風，垂直擴散條件佳，午後受光化作用影響，臭氧濃度稍易上升，入夜後已趨緩。依18時監測結果，北部、竹苗、宜蘭、花東空品區及金門、澎湖為「良好」等級；中部、雲嘉南、高屏空品區及馬祖為「普通」等級。
依監測資料及氣象署27日18時氣象資料顯示：28日環境風場為偏南風，迎風面擴散條件轉佳，北部位於下風處，污染物稍易累積，午後受光化作用影響，臭氧濃度稍易上升。竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區及馬祖、金門、澎湖為「良好」等級；北部空品區為「普通」等級。
29日環境風場為偏南風至西南風，迎風面擴散條件佳，北部位於下風處，污染物稍易累積，午後受光化作用影響，臭氧濃度稍易上升。竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區為「良好」等級；北部空品區為「普通」等級。
30日環境風場為西南風，全臺擴散條件佳，空氣品質良好。北部、竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區為「良好」等級。
未來一週，28日至7月2日環境風場為偏南風至西南風，迎風面擴散條件較好，北部污染物稍易累積；7月3日環境風場為東南風，西半部擴散條件稍差，污染物稍易累積。空氣品質受氣象條件影響大，有其不確定性，請隨時留意最新空氣品質資訊。","2024-06-27 22:00",雲嘉南,,2024-06-29,35,,
"今（27）日環境風場為東南風，垂直擴散條件佳，午後受光化作用影響，臭氧濃度稍易上升，入夜後已趨緩。依18時監測結果，北部、竹苗、宜蘭、花東空品區及金門、澎湖為「良好」等級；中部、雲嘉南、高屏空品區及馬祖為「普通」等級。
依監測資料及氣象署27日18時氣象資料顯示：28日環境風場為偏南風，迎風面擴散條件轉佳，北部位於下風處，污染物稍易累積，午後受光化作用影響，臭氧濃度稍易上升。竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區及馬祖、金門、澎湖為「良好」等級；北部空品區為「普通」等級。
29日環境風場為偏南風至西南風，迎風面擴散條件佳，北部位於下風處，污染物稍易累積，午後受光化作用影響，臭氧濃度稍易上升。竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區為「良好」等級；北部空品區為「普通」等級。
30日環境風場為西南風，全臺擴散條件佳，空氣品質良好。北部、竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區為「良好」等級。
未來一週，28日至7月2日環境風場為偏南風至西南風，迎風面擴散條件較好，北部污染物稍易累積；7月3日環境風場為東南風，西半部擴散條件稍差，污染物稍易累積。空氣品質受氣象條件影響大，有其不確定性，請隨時留意最新空氣品質資訊。","2024-06-27 22:00",雲嘉南,,2024-06-28,40,,
"今（27）日環境風場為東南風，垂直擴散條件佳，午後受光化作用影響，臭氧濃度稍易上升，入夜後已趨緩。依18時監測結果，北部、竹苗、宜蘭、花東空品區及金門、澎湖為「良好」等級；中部、雲嘉南、高屏空品區及馬祖為「普通」等級。
依監測資料及氣象署27日18時氣象資料顯示：28日環境風場為偏南風，迎風面擴散條件轉佳，北部位於下風處，污染物稍易累積，午後受光化作用影響，臭氧濃度稍易上升。竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區及馬祖、金門、澎湖為「良好」等級；北部空品區為「普通」等級。
29日環境風場為偏南風至西南風，迎風面擴散條件佳，北部位於下風處，污染物稍易累積，午後受光化作用影響，臭氧濃度稍易上升。竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區為「良好」等級；北部空品區為「普通」等級。
30日環境風場為西南風，全臺擴散條件佳，空氣品質良好。北部、竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區為「良好」等級。
未來一週，28日至7月2日環境風場為偏南風至西南風，迎風面擴散條件較好，北部污染物稍易累積；7月3日環境風場為東南風，西半部擴散條件稍差，污染物稍易累積。空氣品質受氣象條件影響大，有其不確定性，請隨時留意最新空氣品質資訊。","2024-06-27 22:00",中部,,2024-07-01,30,,
"今（27）日環境風場為東南風，垂直擴散條件佳，午後受光化作用影響，臭氧濃度稍易上升，入夜後已趨緩。依18時監測結果，北部、竹苗、宜蘭、花東空品區及金門、澎湖為「良好」等級；中部、雲嘉南、高屏空品區及馬祖為「普通」等級。
依監測資料及氣象署27日18時氣象資料顯示：28日環境風場為偏南風，迎風面擴散條件轉佳，北部位於下風處，污染物稍易累積，午後受光化作用影響，臭氧濃度稍易上升。竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區及馬祖、金門、澎湖為「良好」等級；北部空品區為「普通」等級。
29日環境風場為偏南風至西南風，迎風面擴散條件佳，北部位於下風處，污染物稍易累積，午後受光化作用影響，臭氧濃度稍易上升。竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區為「良好」等級；北部空品區為「普通」等級。
30日環境風場為西南風，全臺擴散條件佳，空氣品質良好。北部、竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區為「良好」等級。
未來一週，28日至7月2日環境風場為偏南風至西南風，迎風面擴散條件較好，北部污染物稍易累積；7月3日環境風場為東南風，西半部擴散條件稍差，污染物稍易累積。空氣品質受氣象條件影響大，有其不確定性，請隨時留意最新空氣品質資訊。","2024-06-27 22:00",中部,,2024-06-30,30,,
"今（27）日環境風場為東南風，垂直擴散條件佳，午後受光化作用影響，臭氧濃度稍易上升，入夜後已趨緩。依18時監測結果，北部、竹苗、宜蘭、花東空品區及金門、澎湖為「良好」等級；中部、雲嘉南、高屏空品區及馬祖為「普通」等級。
依監測資料及氣象署27日18時氣象資料顯示：28日環境風場為偏南風，迎風面擴散條件轉佳，北部位於下風處，污染物稍易累積，午後受光化作用影響，臭氧濃度稍易上升。竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區及馬祖、金門、澎湖為「良好」等級；北部空品區為「普通」等級。
29日環境風場為偏南風至西南風，迎風面擴散條件佳，北部位於下風處，污染物稍易累積，午後受光化作用影響，臭氧濃度稍易上升。竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區為「良好」等級；北部空品區為「普通」等級。
30日環境風場為西南風，全臺擴散條件佳，空氣品質良好。北部、竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區為「良好」等級。
未來一週，28日至7月2日環境風場為偏南風至西南風，迎風面擴散條件較好，北部污染物稍易累積；7月3日環境風場為東南風，西半部擴散條件稍差，污染物稍易累積。空氣品質受氣象條件影響大，有其不確定性，請隨時留意最新空氣品質資訊。","2024-06-27 22:00",中部,,2024-06-29,30,,
